,HT,AT,SHT,AHT,+1.5,-1.5,OS,+>=-,target
225,Internacional,Figueirense,1,1,1.42,2.8,2,1,1
226,Ponte Preta,Fluminense,3,1,1.45,2.7,4,1,1
227,Corinthians,Santos,2,0,1.4,2.9,2,1,1
228,Goiás,Joinville,3,0,1.42,2.7,3,1,1
229,Atlético Mineiro,Flamengo,4,1,1.3,3.4,5,1,1
230,Avaí,São Paulo,2,1,1.4,2.9,3,1,1
231,Vasco da Gama,Sport Recife,2,1,1.42,2.7,3,1,1
232,Chapecoense,Cruzeiro,0,2,1.55,2.35,2,1,1
233,Coritiba,Athletico-PR,2,0,1.52,2.4,2,1,1
234,Fluminense,Goiás,2,0,1.4,2.8,2,1,1
235,Grêmio,Avaí,3,1,1.38,3.0,4,1,1
236,Athletico-PR,Ponte Preta,1,2,1.45,2.7,3,1,1
237,Santos,Internacional,3,1,1.38,3.0,4,1,1
238,Figueirense,Corinthians,1,3,1.45,2.7,4,1,1
239,Flamengo,Vasco da Gama,1,2,1.35,3.1,3,1,1
240,Joinville,Atlético Mineiro,2,2,1.35,3.0,4,1,1
241,São Paulo,Palmeiras,1,1,1.33,3.2,2,1,1
242,Cruzeiro,Coritiba,2,0,1.42,2.75,2,1,1
243,Sport Recife,Chapecoense,3,0,1.48,2.5,3,1,1
244,Coritiba,Atlético Mineiro,0,3,1.35,3.1,3,1,1
245,Internacional,Sport Recife,2,1,1.38,3.0,3,1,1
246,São Paulo,Athletico-PR,1,0,1.42,2.8,1,1,0
247,Avaí,Vasco da Gama,1,1,1.4,2.85,2,1,1
248,Flamengo,Joinville,2,0,1.3,3.2,2,1,1
249,Cruzeiro,Grêmio,0,0,1.45,2.7,0,1,0
250,Goiás,Figueirense,2,3,1.45,2.7,5,1,1
251,Ponte Preta,Corinthians,2,2,1.42,2.7,4,1,1
252,Santos,Fluminense,3,1,1.33,3.2,4,1,1
253,Chapecoense,Palmeiras,5,1,1.48,2.5,6,1,1
254,Atlético Mineiro,Internacional,2,1,1.2,4.0,3,1,1
255,Sport Recife,Avaí,3,0,1.35,3.0,3,1,1
256,Figueirense,Flamengo,3,0,1.42,2.8,3,1,1
257,Joinville,Coritiba,3,1,1.5,2.45,4,1,1
258,Joinville,Coritiba,3,1,1.5,2.45,4,1,1
259,Athletico-PR,Cruzeiro,2,2,1.45,2.7,4,1,1
260,Fluminense,São Paulo,2,0,1.4,2.9,2,1,1
261,Corinthians,Goiás,3,0,1.35,3.0,3,1,1
262,Avaí,Palmeiras,1,3,1.42,2.8,4,1,1
263,Joinville,Figueirense,1,0,1.45,2.7,1,1,0
264,Cruzeiro,Fluminense,2,0,1.4,2.8,2,1,1
