,HT,AT,SHT,AHT,+0.5,-0.5,+1.5,-1.5,+2.5,-2.5,+3.5,-3.5,OS
199,Internacional,Palmeiras,1,0,1.07,1.07,1.35,3.0,2.1,1.7,3.75,1.25,1
200,Ponte Preta,Vasco da Gama,0,1,1.07,1.07,1.38,3.0,2.15,1.69,3.75,1.25,1
201,Figueirense,Athletico-PR,1,1,1.1,1.1,1.45,2.6,2.4,1.52,4.3,1.18,2
202,Figueirense,Athletico-PR,1,1,1.1,1.1,1.45,2.6,2.4,1.52,4.3,1.18,2
203,Santos,São Paulo,3,0,1.07,1.07,1.35,3.0,2.13,1.69,3.75,1.25,3
204,Goiás,Sport Recife,1,0,1.09,1.09,1.45,2.6,2.4,1.52,4.4,1.18,1
205,Flamengo,Cruzeiro,2,0,1.08,1.08,1.42,2.8,2.3,1.6,4.0,1.22,2
206,Joinville,Chapecoense,0,0,1.11,1.11,1.55,2.35,2.7,1.45,5.25,1.15,0
207,Palmeiras,Figueirense,2,0,1.05,1.05,1.28,3.4,1.88,2.04,3.1,1.33,2
208,Corinthians,Joinville,3,0,1.06,1.06,1.33,3.1,2.13,1.78,3.5,1.28,3
209,Ponte Preta,Santos,3,1,1.08,1.08,1.4,2.85,2.25,1.6,4.0,1.22,4
210,Chapecoense,Flamengo,1,3,1.15,1.15,1.65,2.15,3.0,1.35,5.75,1.12,4
211,Grêmio,São Paulo,1,2,1.07,1.07,1.38,2.9,2.2,1.62,3.75,1.22,3
212,Vasco da Gama,Athletico-PR,2,0,1.09,1.09,1.45,2.7,2.35,1.55,4.3,1.2,2
213,Avaí,Goiás,2,1,1.1,1.1,1.48,2.5,2.45,1.5,4.75,1.17,3
214,Sport Recife,Fluminense,1,0,1.07,1.07,1.38,3.0,2.23,1.71,3.75,1.25,1
215,Fluminense,Palmeiras,1,4,1.08,1.08,1.4,2.9,2.2,1.65,3.8,1.22,5
216,Goiás,Ponte Preta,1,2,1.07,1.07,1.38,3.0,2.1,1.7,3.75,1.25,3
217,Joinville,Sport Recife,1,1,1.1,1.1,1.45,2.6,2.4,1.53,4.3,1.18,2
218,Athletico-PR,Grêmio,1,2,1.09,1.09,1.42,2.7,2.3,1.6,4.1,1.2,3
219,Athletico-PR,Grêmio,1,2,1.09,1.09,1.42,2.7,2.3,1.6,4.1,1.2,3
220,Cruzeiro,Vasco da Gama,2,2,1.06,1.06,1.35,3.1,1.9,1.9,3.5,1.25,4
221,Internacional,Corinthians,2,1,1.1,1.1,1.45,2.6,2.4,1.53,4.3,1.18,3
222,Santos,Atlético Mineiro,4,0,1.05,1.05,1.28,3.4,1.85,1.95,3.1,1.33,4
223,São Paulo,Chapecoense,0,0,1.07,1.07,1.38,3.0,2.2,1.65,3.75,1.25,0
224,Flamengo,Coritiba,0,2,1.08,1.08,1.4,2.85,2.3,1.6,4.0,1.22,2
225,Internacional,Figueirense,1,1,1.08,1.08,1.42,2.8,2.15,1.67,4.0,1.2,2
226,Ponte Preta,Fluminense,3,1,1.09,1.09,1.45,2.7,2.3,1.6,4.3,1.2,4
227,Corinthians,Santos,2,0,1.08,1.08,1.4,2.9,2.2,1.65,3.9,1.22,2
228,Goiás,Joinville,3,0,1.08,1.08,1.42,2.7,2.35,1.57,4.3,1.2,3
229,Atlético Mineiro,Flamengo,4,1,1.05,1.05,1.3,3.4,1.96,1.95,3.2,1.33,5
230,Avaí,São Paulo,2,1,1.08,1.08,1.4,2.9,2.25,1.62,4.0,1.22,3
231,Vasco da Gama,Sport Recife,2,1,1.09,1.09,1.42,2.7,2.4,1.53,4.2,1.2,3
232,Chapecoense,Cruzeiro,0,2,1.12,1.12,1.55,2.35,2.7,1.44,5.25,1.15,2
233,Coritiba,Athletico-PR,2,0,1.12,1.12,1.52,2.4,2.7,1.44,5.0,1.16,2
234,Fluminense,Goiás,2,0,1.08,1.08,1.4,2.8,2.25,1.62,4.0,1.22,2
235,Grêmio,Avaí,3,1,1.07,1.07,1.38,3.0,2.15,1.67,3.75,1.22,4
236,Athletico-PR,Ponte Preta,1,2,1.09,1.09,1.45,2.7,2.2,1.65,4.3,1.18,3
237,Santos,Internacional,3,1,1.07,1.07,1.38,3.0,2.08,1.73,3.75,1.22,4
238,Figueirense,Corinthians,1,3,1.09,1.09,1.45,2.7,2.35,1.57,4.3,1.2,4
239,Flamengo,Vasco da Gama,1,2,1.06,1.06,1.35,3.1,2.08,1.73,3.5,1.28,3
240,Joinville,Atlético Mineiro,2,2,1.07,1.07,1.35,3.0,2.2,1.65,3.75,1.25,4
241,São Paulo,Palmeiras,1,1,1.06,1.06,1.33,3.2,2.08,1.73,3.4,1.3,2
242,Cruzeiro,Coritiba,2,0,1.08,1.08,1.42,2.75,2.25,1.62,4.15,1.2,2
243,Sport Recife,Chapecoense,3,0,1.1,1.1,1.48,2.5,2.4,1.53,4.75,1.17,3
244,Coritiba,Atlético Mineiro,0,3,1.06,1.06,1.35,3.1,2.1,1.7,3.5,1.28,3
245,Internacional,Sport Recife,2,1,1.07,1.07,1.38,3.0,2.2,1.65,3.75,1.25,3
246,São Paulo,Athletico-PR,1,0,1.08,1.08,1.42,2.8,2.2,1.65,4.0,1.2,1
247,Avaí,Vasco da Gama,1,1,1.08,1.08,1.4,2.85,2.15,1.67,4.0,1.22,2
248,Flamengo,Joinville,2,0,1.05,1.05,1.3,3.2,2.0,1.8,3.25,1.3,2
249,Cruzeiro,Grêmio,0,0,1.09,1.09,1.45,2.7,2.3,1.6,4.3,1.18,0
250,Goiás,Figueirense,2,3,1.09,1.09,1.45,2.7,2.35,1.57,4.3,1.2,5
251,Ponte Preta,Corinthians,2,2,1.09,1.09,1.42,2.7,2.3,1.6,4.0,1.2,4
252,Santos,Fluminense,3,1,1.06,1.06,1.33,3.2,2.0,1.8,3.4,1.28,4
253,Chapecoense,Palmeiras,5,1,1.1,1.1,1.48,2.5,2.5,1.5,4.75,1.17,6
254,Atlético Mineiro,Internacional,2,1,1.03,1.03,1.2,4.0,1.9,1.9,2.65,1.45,3
255,Sport Recife,Avaí,3,0,1.07,1.07,1.35,3.0,2.2,1.65,3.75,1.25,3
256,Figueirense,Flamengo,3,0,1.08,1.08,1.42,2.8,2.2,1.65,4.0,1.22,3
257,Joinville,Coritiba,3,1,1.11,1.11,1.5,2.45,2.6,1.48,4.8,1.16,4
258,Joinville,Coritiba,3,1,1.11,1.11,1.5,2.45,2.6,1.48,4.8,1.16,4
259,Athletico-PR,Cruzeiro,2,2,1.09,1.09,1.45,2.7,2.4,1.53,4.3,1.2,4
260,Fluminense,São Paulo,2,0,1.08,1.08,1.4,2.9,2.25,1.62,3.8,1.22,2
261,Corinthians,Goiás,3,0,1.07,1.07,1.35,3.0,2.1,1.7,3.75,1.25,3
